subject ROI    y     x
HMN113 RIFG_BA45 -0.0951 18.98
HMN114 RIFG_BA45 -0.0419 18.68
HMN115 RIFG_BA45 -0.0627 17.33
HMN116 RIFG_BA45 -0.0242 15.93
HMN117 RIFG_BA45 0.0336 18.86
HMN118 RIFG_BA45 0.1377 14.6
HMN119 RIFG_BA45 -0.0579 15.48
HMN120 RIFG_BA45 0.386 14.95
HMN121 RIFG_BA45 0.2954 17.86
HMN122 RIFG_BA45 -0.0138 19
HMN123 RIFG_BA45 -0.295 16.32
HMN124 RIFG_BA45 0.1805 18
HMN125_W2 RIFG_BA45 0.0333 18.26
HMN126 RIFG_BA45 0.134 12.98
HMN127 RIFG_BA45 0.1351 16.74
